country,iso3,year,g_whoregion,screen_data_available,newinc_con,newinc_con_screen,newinc_con_tb,prevtx_data_available,newinc_con_prevtx,newinc_con04_prevtx,newinc_con_prevtx_cmplt,country_notifications,g_whoregion_notifications,c_newinc,new_labconf,new_clindx,new_ep,country_drug_resistance,g_whoregion_drug_resistance,r_rlt_new,rr_new,dst_rlt_new,mdr_new,r_rlt_ret,rr_ret,dst_rlt_ret,mdr_ret,country_outcomes,g_whoregion_outcomes,newrel_coh,newrel_succ,newrel_fail,newrel_died,newrel_lost,c_new_tsr,rel_with_new_flg,contact_screening_rate,tpt_start_rate,tpt_completion_rate,rr_rate_new,mdr_rate_new,treatment_success_rate,treatment_death_rate,unsuccessful_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_newinc_next_year,rr_rate_new_next_year,mdr_rate_new_next_year,c_new_tsr_next_year,newrel_coh_next_year,treatment_success_rate_next_year,treatment_death_rate_next_year,unsuccessful_rate_next_year,c_newinc_percent_change_next_year,low_c_newinc_flag,case_change_direction,temporal_analysis_cohort_flag
Aruba,ABW,2019,AMR,60.0,3.0,3.0,,0.0,,,,Aruba,AMR,2.0,1.0,0.0,1.0,Aruba,AMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aruba,AMR,,,,,,,0.0,1.0,,,,,,,,True,False,False,,,,,,,,,,True,,False
Aruba,ABW,2021,AMR,60.0,0.0,0.0,,0.0,,,,Aruba,AMR,6.0,6.0,0.0,0.0,Aruba,AMR,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aruba,AMR,,,,,,,,,,,0.0,,,,,False,False,False,,,,,,,,,,True,,False
Afghanistan,AFG,2019,EMR,60.0,32737.0,29469.0,,60.0,24701.0,24701.0,21505.0,Afghanistan,EMR,52438.0,24358.0,13698.0,13395.0,Afghanistan,EMR,5443.0,263.0,23.0,23.0,918.0,221.0,20.0,20.0,Afghanistan,EMR,52438.0,47789.0,391.0,747.0,698.0,91.0,1.0,0.9001741149158444,0.7545285151357791,0.8706125258086718,0.04831894176005879,,0.9113429192570274,0.014245394561196079,0.035012776993783135,False,False,False,45818.0,0.027303754266211604,0.18650088809946713,95.0,45818.0,0.947684316207604,0.014077436815225457,0.032214413549260114,-12.62443266333575,False,Rückgang,True
Afghanistan,AFG,2020,EMR,60.0,23336.0,2189.0,,60.0,23336.0,23336.0,20350.0,Afghanistan,EMR,45818.0,22888.0,10917.0,11401.0,Afghanistan,EMR,10255.0,280.0,563.0,105.0,642.0,144.0,,,Afghanistan,EMR,45818.0,43421.0,171.0,645.0,660.0,95.0,1.0,0.09380356530682207,1.0,0.8720431950634213,0.027303754266211604,0.18650088809946713,0.947684316207604,0.014077436815225457,0.032214413549260114,False,True,False,50324.0,0.02235853924210285,,93.0,50324.0,0.9256418408711549,0.01158492965583022,0.029469040616803117,9.834562835566809,False,Anstieg,True
Afghanistan,AFG,2021,EMR,60.0,35100.0,30482.0,,60.0,25360.0,25360.0,24092.0,Afghanistan,EMR,50324.0,24715.0,12254.0,12699.0,Afghanistan,EMR,17443.0,390.0,,,501.0,69.0,,,Afghanistan,EMR,50324.0,46582.0,264.0,583.0,636.0,93.0,1.0,0.8684330484330485,0.7225071225071225,0.95,0.02235853924210285,,0.9256418408711549,0.01158492965583022,0.029469040616803117,False,False,False,51749.0,0.052821242294926504,0.13440860215053763,95.0,50976.0,0.9464846202134338,0.01694915254237288,0.03391792215944758,2.831650902154042,False,Anstieg,True
Afghanistan,AFG,2022,EMR,60.0,366849.0,41754.0,7299.0,60.0,32250.0,32250.0,29670.0,Afghanistan,EMR,51749.0,25302.0,11908.0,13702.0,Afghanistan,EMR,10545.0,557.0,186.0,25.0,1367.0,87.0,286.0,47.0,Afghanistan,EMR,50976.0,48248.0,224.0,864.0,641.0,95.0,1.0,0.11381794689368105,0.08791082979645576,0.92,0.052821242294926504,0.13440860215053763,0.9464846202134338,0.01694915254237288,0.03391792215944758,False,False,False,49533.0,0.02120819538409865,0.013836136733586543,94.0,49533.0,0.9429269375971574,0.02016837260008479,0.03664223850766156,-4.282208351852209,False,Rückgang,True
Afghanistan,AFG,2023,EMR,1.0,225633.0,49109.0,5381.0,1.0,31423.0,31423.0,28121.0,Afghanistan,EMR,49533.0,24316.0,10976.0,13162.0,Afghanistan,EMR,20841.0,442.0,14744.0,204.0,969.0,70.0,181.0,70.0,Afghanistan,EMR,49533.0,46706.0,146.0,999.0,670.0,94.0,1.0,0.21764990050214286,0.13926597616483405,0.8949177354167329,0.02120819538409865,0.013836136733586543,0.9429269375971574,0.02016837260008479,0.03664223850766156,False,False,False,51319.0,0.015022496560443238,0.7163120567375887,,,,,,3.6056770233985422,False,Anstieg,True
Afghanistan,AFG,2024,EMR,1.0,248103.0,49292.0,4286.0,1.0,32896.0,32896.0,,Afghanistan,EMR,51319.0,26893.0,10305.0,12833.0,Afghanistan,EMR,26893.0,404.0,564.0,404.0,1038.0,46.0,206.0,46.0,,,,,,,,,,0.1986755500739612,0.132590093630468,,0.015022496560443238,0.7163120567375887,,,,False,False,False,,,,,,,,,,False,,True
Albania,ALB,2019,EUR,60.0,61.0,27.0,,60.0,54.0,12.0,23.0,Albania,EUR,412.0,211.0,88.0,84.0,Albania,EUR,26.0,2.0,26.0,0.0,3.0,2.0,3.0,2.0,Albania,EUR,412.0,364.0,,19.0,18.0,88.0,1.0,0.4426229508196721,0.8852459016393442,0.42592592592592593,0.07692307692307693,0.0,0.883495145631068,0.04611650485436893,,False,False,False,240.0,0.008,,89.0,240.0,0.8875,0.058333333333333334,0.10833333333333334,-41.74757281553398,False,Rückgang,True
Albania,ALB,2020,EUR,60.0,21.0,12.0,,60.0,17.0,2.0,11.0,Albania,EUR,240.0,134.0,51.0,38.0,Albania,EUR,125.0,1.0,,,13.0,3.0,,,Albania,EUR,240.0,213.0,0.0,14.0,12.0,89.0,1.0,0.5714285714285714,0.8095238095238095,0.6470588235294118,0.008,,0.8875,0.058333333333333334,0.10833333333333334,False,False,False,269.0,0.032467532467532464,0.010101010101010102,90.0,269.0,0.8996282527881041,0.03345724907063197,0.09293680297397769,12.083333333333334,False,Anstieg,True
Albania,ALB,2021,EUR,60.0,37.0,16.0,,60.0,14.0,1.0,12.0,Albania,EUR,269.0,168.0,43.0,50.0,Albania,EUR,154.0,5.0,99.0,1.0,4.0,1.0,4.0,0.0,Albania,EUR,269.0,242.0,0.0,9.0,16.0,90.0,1.0,0.43243243243243246,0.3783783783783784,0.8571428571428571,0.032467532467532464,0.010101010101010102,0.8996282527881041,0.03345724907063197,0.09293680297397769,False,False,False,292.0,0.006211180124223602,0.0,89.0,264.0,0.8863636363636364,0.06439393939393939,0.08712121212121213,8.550185873605948,False,Anstieg,True
Albania,ALB,2022,EUR,60.0,30.0,17.0,12.0,60.0,21.0,2.0,19.0,Albania,EUR,292.0,171.0,53.0,42.0,Albania,EUR,161.0,1.0,102.0,0.0,13.0,2.0,6.0,2.0,Albania,EUR,264.0,234.0,0.0,17.0,6.0,89.0,1.0,0.5666666666666667,0.7,0.9047619047619048,0.006211180124223602,0.0,0.8863636363636364,0.06439393939393939,0.08712121212121213,False,False,False,302.0,0.00641025641025641,0.0,89.0,268.0,0.8917910447761194,0.029850746268656716,0.08582089552238806,3.4246575342465753,False,Anstieg,True
Albania,ALB,2023,EUR,1.0,45.0,14.0,10.0,1.0,33.0,5.0,19.0,Albania,EUR,302.0,156.0,51.0,67.0,Albania,EUR,156.0,1.0,118.0,0.0,21.0,4.0,11.0,3.0,Albania,EUR,268.0,239.0,0.0,8.0,15.0,89.0,1.0,0.3111111111111111,0.7333333333333333,0.5757575757575758,0.00641025641025641,0.0,0.8917910447761194,0.029850746268656716,0.08582089552238806,False,False,False,232.0,0.014492753623188406,0.014492753623188406,,,,,,-23.178807947019866,False,Rückgang,True
Albania,ALB,2024,EUR,1.0,61.0,28.0,17.0,1.0,48.0,4.0,,Albania,EUR,232.0,138.0,42.0,29.0,Albania,EUR,138.0,2.0,138.0,2.0,14.0,0.0,14.0,0.0,,,,,,,,,,0.45901639344262296,0.7868852459016393,,0.014492753623188406,0.014492753623188406,,,,False,False,False,,,,,,,,,,False,,True
Andorra,AND,2019,EUR,60.0,7.0,7.0,,60.0,0.0,0.0,,Andorra,EUR,5.0,4.0,,1.0,Andorra,EUR,2.0,0.0,2.0,0.0,,,,,Andorra,EUR,5.0,3.0,,1.0,1.0,60.0,1.0,1.0,0.0,,0.0,0.0,0.6,0.2,,True,True,False,2.0,0.0,0.0,100.0,2.0,1.0,,,-60.0,True,Rückgang,False
Andorra,AND,2020,EUR,60.0,2.0,2.0,,60.0,0.0,0.0,,Andorra,EUR,2.0,1.0,,1.0,Andorra,EUR,1.0,0.0,1.0,0.0,,,0.0,0.0,Andorra,EUR,2.0,2.0,,,,100.0,1.0,1.0,0.0,,0.0,0.0,1.0,,,True,True,False,2.0,0.0,0.0,100.0,2.0,1.0,0.0,0.0,0.0,True,Unverändert,False
