country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_newinc,c_newinc_next_year,c_newinc_percent_change_next_year,case_change_direction,low_c_newinc_flag,temporal_analysis_cohort_flag
Afghanistan,AFG,2019,EMR,0.9001741149158444,0.7545285151357791,0.8706125258086718,False,False,False,52438.0,45818.0,-12.62443266333575,Rückgang,False,True
Afghanistan,AFG,2020,EMR,0.09380356530682207,1.0,0.8720431950634213,False,True,False,45818.0,50324.0,9.834562835566809,Anstieg,False,True
Afghanistan,AFG,2021,EMR,0.8684330484330485,0.7225071225071225,0.95,False,False,False,50324.0,51749.0,2.831650902154042,Anstieg,False,True
Afghanistan,AFG,2022,EMR,0.11381794689368105,0.08791082979645576,0.92,False,False,False,51749.0,49533.0,-4.282208351852209,Rückgang,False,True
Afghanistan,AFG,2023,EMR,0.21764990050214286,0.13926597616483405,0.8949177354167329,False,False,False,49533.0,51319.0,3.6056770233985422,Anstieg,False,True
Albania,ALB,2019,EUR,0.4426229508196721,0.8852459016393442,0.42592592592592593,False,False,False,412.0,240.0,-41.74757281553398,Rückgang,False,True
Albania,ALB,2020,EUR,0.5714285714285714,0.8095238095238095,0.6470588235294118,False,False,False,240.0,269.0,12.083333333333334,Anstieg,False,True
Albania,ALB,2021,EUR,0.43243243243243246,0.3783783783783784,0.8571428571428571,False,False,False,269.0,292.0,8.550185873605948,Anstieg,False,True
Albania,ALB,2022,EUR,0.5666666666666667,0.7,0.9047619047619048,False,False,False,292.0,302.0,3.4246575342465753,Anstieg,False,True
Albania,ALB,2023,EUR,0.3111111111111111,0.7333333333333333,0.5757575757575758,False,False,False,302.0,232.0,-23.178807947019866,Rückgang,False,True
Andorra,AND,2019,EUR,1.0,0.0,,True,True,False,5.0,2.0,-60.0,Rückgang,True,False
Andorra,AND,2020,EUR,1.0,0.0,,True,True,False,2.0,2.0,0.0,Unverändert,True,False
Andorra,AND,2021,EUR,1.0,0.3333333333333333,,True,False,False,2.0,4.0,100.0,Anstieg,True,False
Andorra,AND,2022,EUR,1.0,0.0,,True,True,False,4.0,4.0,0.0,Unverändert,True,False
United Arab Emirates,ARE,2019,EMR,0.99644128113879,0.042704626334519574,0.8333333333333334,False,False,False,80.0,62.0,-22.5,Rückgang,False,True
United Arab Emirates,ARE,2020,EMR,0.9128205128205128,0.07179487179487179,0.8571428571428571,False,False,False,62.0,66.0,6.451612903225806,Anstieg,False,True
United Arab Emirates,ARE,2021,EMR,0.9792284866468842,0.0712166172106825,0.9166666666666666,False,False,False,66.0,65.0,-1.5151515151515151,Rückgang,False,True
United Arab Emirates,ARE,2022,EMR,0.965625,0.078125,0.64,False,False,False,65.0,66.0,1.5384615384615385,Anstieg,False,True
United Arab Emirates,ARE,2023,EMR,0.7417840375586855,0.046948356807511735,1.0,False,False,True,66.0,57.0,-13.636363636363635,Rückgang,False,True
Armenia,ARM,2019,EUR,0.9430011632415665,0.017836370686312525,,False,False,False,621.0,394.0,-36.553945249597426,Rückgang,False,True
Armenia,ARM,2020,EUR,0.8913250714966635,0.0219256434699714,,False,False,False,394.0,398.0,1.015228426395939,Anstieg,False,True
Armenia,ARM,2021,EUR,0.9189453125,0.0166015625,,False,False,False,398.0,440.0,10.552763819095476,Anstieg,False,True
Armenia,ARM,2022,EUR,0.9133425034387895,0.027510316368638238,,False,False,False,440.0,404.0,-8.181818181818182,Rückgang,False,True
Armenia,ARM,2023,EUR,0.9399293286219081,0.0353356890459364,,False,False,False,404.0,383.0,-5.198019801980198,Rückgang,False,True
American Samoa,ASM,2019,WPR,0.0,0.0,,True,True,False,1.0,3.0,200.0,Anstieg,True,False
Antigua and Barbuda,ATG,2020,AMR,1.0,0.0,,True,True,False,2.0,4.0,100.0,Anstieg,True,False
Antigua and Barbuda,ATG,2021,AMR,0.8333333333333334,0.0,,False,True,False,4.0,1.0,-75.0,Rückgang,True,False
Antigua and Barbuda,ATG,2022,AMR,0.75,,,False,False,False,1.0,1.0,0.0,Unverändert,True,False
Australia,AUS,2019,WPR,0.8576576576576577,0.12612612612612611,,False,False,False,1502.0,1611.0,7.256990679094541,Anstieg,False,True
Australia,AUS,2020,WPR,0.9172461752433936,0.14186369958275383,,False,False,False,1611.0,1468.0,-8.876474239602732,Rückgang,False,True
Australia,AUS,2021,WPR,0.46889400921658986,0.08928571428571429,,False,False,False,1468.0,1272.0,-13.35149863760218,Rückgang,False,True
Australia,AUS,2022,WPR,0.6442105263157895,0.08947368421052632,,False,False,False,1272.0,1434.0,12.735849056603774,Anstieg,False,True
