country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,rr_rate_new_next_year,mdr_rate_new_next_year
Afghanistan,AFG,2019,EMR,0.9001741149158444,0.7545285151357791,0.8706125258086718,False,False,False,0.027303754266211604,0.18650088809946713
Afghanistan,AFG,2021,EMR,0.8684330484330485,0.7225071225071225,0.95,False,False,False,0.052821242294926504,0.13440860215053763
Afghanistan,AFG,2022,EMR,0.11381794689368105,0.08791082979645576,0.92,False,False,False,0.02120819538409865,0.013836136733586543
Afghanistan,AFG,2023,EMR,0.21764990050214286,0.13926597616483405,0.8949177354167329,False,False,False,0.015022496560443238,0.7163120567375887
Albania,ALB,2020,EUR,0.5714285714285714,0.8095238095238095,0.6470588235294118,False,False,False,0.032467532467532464,0.010101010101010102
Albania,ALB,2021,EUR,0.43243243243243246,0.3783783783783784,0.8571428571428571,False,False,False,0.006211180124223602,0.0
Albania,ALB,2022,EUR,0.5666666666666667,0.7,0.9047619047619048,False,False,False,0.00641025641025641,0.0
Albania,ALB,2023,EUR,0.3111111111111111,0.7333333333333333,0.5757575757575758,False,False,False,0.014492753623188406,0.014492753623188406
Andorra,AND,2019,EUR,1.0,0.0,,True,True,False,0.0,0.0
Andorra,AND,2020,EUR,1.0,0.0,,True,True,False,0.0,0.0
Andorra,AND,2022,EUR,1.0,0.0,,True,True,False,0.0,0.0
United Arab Emirates,ARE,2019,EMR,0.99644128113879,0.042704626334519574,0.8333333333333334,False,False,False,0.0,0.0
United Arab Emirates,ARE,2020,EMR,0.9128205128205128,0.07179487179487179,0.8571428571428571,False,False,False,0.0,0.0
United Arab Emirates,ARE,2021,EMR,0.9792284866468842,0.0712166172106825,0.9166666666666666,False,False,False,0.05,0.07142857142857142
United Arab Emirates,ARE,2022,EMR,0.965625,0.078125,0.64,False,False,False,0.0,0.0
United Arab Emirates,ARE,2023,EMR,0.7417840375586855,0.046948356807511735,1.0,False,False,True,0.038461538461538464,0.0
Armenia,ARM,2019,EUR,0.9430011632415665,0.017836370686312525,,False,False,False,0.1414141414141414,0.14207650273224043
