country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_new_tsr_next_year,newrel_coh_next_year,treatment_success_rate_next_year,treatment_death_rate_next_year,unsuccessful_rate_next_year
Afghanistan,AFG,2019,EMR,0.9001741149158444,0.7545285151357791,0.8706125258086718,False,False,False,95.0,45818.0,0.947684316207604,0.014077436815225457,0.032214413549260114
Afghanistan,AFG,2020,EMR,0.09380356530682207,1.0,0.8720431950634213,False,True,False,93.0,50324.0,0.9256418408711549,0.01158492965583022,0.029469040616803117
Afghanistan,AFG,2021,EMR,0.8684330484330485,0.7225071225071225,0.95,False,False,False,95.0,50976.0,0.9464846202134338,0.01694915254237288,0.03391792215944758
Afghanistan,AFG,2022,EMR,0.11381794689368105,0.08791082979645576,0.92,False,False,False,94.0,49533.0,0.9429269375971574,0.02016837260008479,0.03664223850766156
Albania,ALB,2019,EUR,0.4426229508196721,0.8852459016393442,0.42592592592592593,False,False,False,89.0,240.0,0.8875,0.058333333333333334,0.10833333333333334
Albania,ALB,2020,EUR,0.5714285714285714,0.8095238095238095,0.6470588235294118,False,False,False,90.0,269.0,0.8996282527881041,0.03345724907063197,0.09293680297397769
Albania,ALB,2021,EUR,0.43243243243243246,0.3783783783783784,0.8571428571428571,False,False,False,89.0,264.0,0.8863636363636364,0.06439393939393939,0.08712121212121213
Albania,ALB,2022,EUR,0.5666666666666667,0.7,0.9047619047619048,False,False,False,89.0,268.0,0.8917910447761194,0.029850746268656716,0.08582089552238806
Andorra,AND,2019,EUR,1.0,0.0,,True,True,False,100.0,2.0,1.0,,
Andorra,AND,2020,EUR,1.0,0.0,,True,True,False,100.0,2.0,1.0,0.0,0.0
Andorra,AND,2021,EUR,1.0,0.3333333333333333,,True,False,False,100.0,4.0,1.0,0.0,0.0
